  Time                 , V(VN)                , V(VS)                
  5.104826843274e+00  ,-3.941744875224e-07  ,0.000000000000e+00  
  5.199676843274e+00  ,-4.054709383527e-07  ,0.000000000000e+00  
  5.389376843274e+00  ,-4.217937897011e-07  ,0.000000000000e+00  
  5.768776843274e+00  ,-4.412487056293e-07  ,0.000000000000e+00  
  6.000000000012e+00  ,-4.485950894917e-07  ,0.000000000000e+00  
  6.005000000011e+00  ,-4.786806545864e-07  ,1.500000003240e-01  
  6.015000000011e+00  ,-2.031654425373e-01  ,4.500000003240e-01  
  6.035000000011e+00  ,6.032698118943e-01  ,1.050000000324e+00  
  6.050000000012e+00  ,8.923816520837e-01  ,1.500000000000e+00  
  6.053409375012e+00  ,8.918524435721e-01  ,1.500000000000e+00  
  6.060228125012e+00  ,8.915054530371e-01  ,1.500000000000e+00  
  6.073865625012e+00  ,8.903782784473e-01  ,1.500000000000e+00  
  6.097243750012e+00  ,8.887889640755e-01  ,1.500000000000e+00  
  6.144000000012e+00  ,8.852382548503e-01  ,1.500000000000e+00  
  6.237512500012e+00  ,8.784381520236e-01  ,1.500000000000e+00  
  6.424537500012e+00  ,8.643238359946e-01  ,1.500000000000e+00  
  6.798587500012e+00  ,8.358542154310e-01  ,1.500000000000e+00  
  7.546687500012e+00  ,7.774064349942e-01  ,1.500000000000e+00  
  8.546687500012e+00  ,7.014093581238e-01  ,1.500000000000e+00  
  9.546687500012e+00  ,6.336034431006e-01  ,1.500000000000e+00  
  1.054668750001e+01  ,5.785561707453e-01  ,1.500000000000e+00  
  1.100000000001e+01  ,5.580737648415e-01  ,1.500000000000e+00  
  1.100300000001e+01  ,4.963146816299e-01  ,1.349999999460e+00  
  1.100900000001e+01  ,3.725893292285e-01  ,1.049999999460e+00  
  1.101050000001e+01  ,3.417546821584e-01  ,9.749999994600e-01  
  1.101350000001e+01  ,2.804071607825e-01  ,8.249999994600e-01  
  1.101950000001e+01  ,1.611591272813e-01  ,5.249999994600e-01  
  1.101966406251e+01  ,1.580286112439e-01  ,5.167968744591e-01  
  1.101970507814e+01  ,1.572492470877e-01  ,5.147460932091e-01  
  1.101978710939e+01  ,1.556902581942e-01  ,5.106445307090e-01  
  1.101995117189e+01  ,1.525573562831e-01  ,5.024414057091e-01  
  1.101999218751e+01  ,1.010921457564e-01  ,5.003906244591e-01  
  1.102007421876e+01  ,-1.827612525667e-01  ,4.962890619591e-01  
  1.102023828126e+01  ,-1.881970206159e-01  ,4.880859369591e-01  
  1.102049360353e+01  ,-1.828695394070e-01  ,4.753198236778e-01  
  1.102100424806e+01  ,-1.882271896466e-01  ,4.497875971153e-01  
  1.102202553712e+01  ,-1.829966363148e-01  ,3.987231439903e-01  
  1.102406811525e+01  ,-1.883994698583e-01  ,2.965942377403e-01  
  1.102457875978e+01  ,-1.831613002141e-01  ,2.710620111778e-01  
  1.102560004884e+01  ,-1.884665341058e-01  ,2.199975580528e-01  
  1.102585537110e+01  ,-1.832759272220e-01  ,2.072314447716e-01  
  1.102636601564e+01  ,-1.884579334437e-01  ,1.816992182091e-01  
  1.102738730470e+01  ,-1.829278032819e-01  ,1.306347650841e-01  
  1.102741921998e+01  ,-1.406292113097e-01  ,1.290390009239e-01  
  1.102748305055e+01  ,-1.134800766158e-01  ,1.258474726036e-01  
  1.102761071168e+01  ,-8.627710191611e-06  ,1.194644159630e-01  
  1.102764262696e+01  ,-1.730376655962e-06  ,1.178686518028e-01  
  1.102770645753e+01  ,-8.689969038800e-07  ,1.146771234825e-01  
  1.102783411866e+01  ,-4.457178637285e-07  ,1.082940668418e-01  
  1.102808944093e+01  ,-3.949995045771e-07  ,9.552795356056e-02  
  1.102860008546e+01  ,-3.271653022940e-07  ,6.999572699806e-02  
  1.102962137452e+01  ,-3.782050606305e-07  ,1.893127387307e-02  
  1.103000000001e+01  ,-3.311510017867e-07  ,0.000000000000e+00  
  1.103009172364e+01  ,-3.542981323046e-07  ,0.000000000000e+00  
  1.103027517091e+01  ,-3.543693021246e-07  ,0.000000000000e+00  
