  Time                 , V(VS)                , (V(MH:+)-V(MH:-))  / I(MH:+)
  0.000000000000e+00  ,7.446752295099e-01  ,4.995515986126e+04  
  1.000000000000e-04  ,8.621724063647e-01  ,4.995325890731e+04  
  2.000000000000e-04  ,9.160329071916e-01  ,4.995149313456e+04  
  4.000000000000e-04  ,1.296809439040e+00  ,4.994852192273e+04  
  8.000000000000e-04  ,1.027268938131e+00  ,4.994309223994e+04  
  1.326367187500e-03  ,9.463500347814e-01  ,4.993456356826e+04  
  1.820703125000e-03  ,1.011561151010e+00  ,4.992670878988e+04  
  2.809375000000e-03  ,1.188868748056e+00  ,4.991265119375e+04  
  4.786718750000e-03  ,9.168567421804e-01  ,4.988238732889e+04  
  5.281054687500e-03  ,1.179824870623e+00  ,4.987477549384e+04  
  6.269726562500e-03  ,1.070804040431e+00  ,4.985998393828e+04  
  7.722656250000e-03  ,1.250876061550e+00  ,4.984060159148e+04  
  9.141210937500e-03  ,1.153571995645e+00  ,4.982151506336e+04  
  1.197832031250e-02  ,1.010535934135e+00  ,4.977955387158e+04  
  1.765253906250e-02  ,9.633210355518e-01  ,4.968813830387e+04  
  2.765253906250e-02  ,9.787725184539e-01  ,4.952444336711e+04  
  3.765253906250e-02  ,8.772028180502e-01  ,4.934775253749e+04  
  4.765253906250e-02  ,1.149159901593e+00  ,4.918889160039e+04  
  5.765253906250e-02  ,7.265325523109e-01  ,4.900805991418e+04  
  5.890253906250e-02  ,1.270062263068e+00  ,4.898633234548e+04  
  6.140253906250e-02  ,8.333198743106e-01  ,4.894008247021e+04  
  6.189443359375e-02  ,1.207359266695e+00  ,4.893341952825e+04  
  6.287822265625e-02  ,1.171604828178e+00  ,4.892037172353e+04  
  6.430126953125e-02  ,1.292855031093e+00  ,4.890284459850e+04  
  6.567294921875e-02  ,9.102660622696e-01  ,4.888129430148e+04  
  6.601586914063e-02  ,9.870840981192e-01  ,4.887584963124e+04  
  6.670170898438e-02  ,1.295985604051e+00  ,4.886666183277e+04  
  6.807338867188e-02  ,9.411507206295e-01  ,4.884718846436e+04  
  6.833051757813e-02  ,1.084626160800e+00  ,4.884319372421e+04  
  6.884477539063e-02  ,8.329171105383e-01  ,4.883408564249e+04  
  6.896057128906e-02  ,7.872583447116e-01  ,4.883175710382e+04  
  6.919216308594e-02  ,1.248203174698e+00  ,4.882793869103e+04  
  6.948962402344e-02  ,1.130889072285e+00  ,4.882359905648e+04  
  6.980876464844e-02  ,1.123877321157e+00  ,4.881912784135e+04  
  7.030935058594e-02  ,1.055004716089e+00  ,4.881189973590e+04  
  7.131052246094e-02  ,7.050762277123e-01  ,4.879206424788e+04  
  7.331286621094e-02  ,8.043758050355e-01  ,4.875201832707e+04  
  7.567692871094e-02  ,7.201981766188e-01  ,4.870128380984e+04  
  7.799489746094e-02  ,7.459933654921e-01  ,4.865083411297e+04  
  8.263083496094e-02  ,1.005281697651e+00  ,4.856413522966e+04  
  9.190270996094e-02  ,1.148024840053e+00  ,4.843066387521e+04  
  1.019027099609e-01  ,8.646439113313e-01  ,4.827258052504e+04  
  1.119027099609e-01  ,1.258839799776e+00  ,4.812121580765e+04  
  1.219027099609e-01  ,1.208238024016e+00  ,4.799901374021e+04  
  1.319027099609e-01  ,7.710928714858e-01  ,4.783265280489e+04  
  1.331527099609e-01  ,1.192182395455e+00  ,4.781173564070e+04  
  1.356527099609e-01  ,1.293294409754e+00  ,4.778149802598e+04  
  1.406527099609e-01  ,7.118682895093e-01  ,4.769552572277e+04  
  1.413073974609e-01  ,7.682918325237e-01  ,4.768212608751e+04  
  1.426167724609e-01  ,9.290495000155e-01  ,4.765827791521e+04  
  1.452355224609e-01  ,1.258308883894e+00  ,4.762084980785e+04  
  1.504730224609e-01  ,7.284731413958e-01  ,4.753194782543e+04  
  1.585948974609e-01  ,9.529590221364e-01  ,4.739820249969e+04  
  1.659581787109e-01  ,8.837019607401e-01  ,4.727144753886e+04  
  1.759581787109e-01  ,1.145150571314e+00  ,4.712557340751e+04  
  1.859581787109e-01  ,1.284488529096e+00  ,4.700035630302e+04  
  1.959581787109e-01  ,1.140262483713e+00  ,4.687751189864e+04  
  2.059581787109e-01  ,9.152639945353e-01  ,4.672846642735e+04  
  2.159581787109e-01  ,9.724198353176e-01  ,4.656695622873e+04  
  2.259581787109e-01  ,1.128673871537e+00  ,4.642340006472e+04  
  2.359581787109e-01  ,9.547897665561e-01  ,4.627861793235e+04  
  2.459581787109e-01  ,1.257045670245e+00  ,4.614146744838e+04  
  2.559581787109e-01  ,1.112471783423e+00  ,4.601715022528e+04  
  2.659581787109e-01  ,1.047278974638e+00  ,4.588131369937e+04  
  2.759581787109e-01  ,1.275792493102e+00  ,4.575377602548e+04  
  2.859581787109e-01  ,9.833676869472e-01  ,4.562139559533e+04  
  2.959581787109e-01  ,7.056803733708e-01  ,4.543473314045e+04  
  2.972081787109e-01  ,1.195514350299e+00  ,4.541873427762e+04  
  2.997081787109e-01  ,1.122321188401e+00  ,4.538734121477e+04  
  3.033484130859e-01  ,1.117634482686e+00  ,4.534050585718e+04  
  3.087327880859e-01  ,1.079481768980e+00  ,4.526889996941e+04  
  3.187327880859e-01  ,1.249100239463e+00  ,4.514365731700e+04  
  3.287327880859e-01  ,1.114686984171e+00  ,4.502108750044e+04  
  3.387327880859e-01  ,8.746031609743e-01  ,4.486632329743e+04  
  3.487327880859e-01  ,1.184712958223e+00  ,4.472032918999e+04  
  3.587327880859e-01  ,1.006435066635e+00  ,4.458735957036e+04  
  3.687327880859e-01  ,1.020129034894e+00  ,4.444808578305e+04  
  3.787327880859e-01  ,1.237035633738e+00  ,4.431954167952e+04  
  3.887327880859e-01  ,1.029337679325e+00  ,4.419206601083e+04  
  3.987327880859e-01  ,1.171311909071e+00  ,4.406125898900e+04  
  4.087327880859e-01  ,1.144564733100e+00  ,4.393490802299e+04  
  4.187327880859e-01  ,1.060405412127e+00  ,4.380541624172e+04  
  4.287327880859e-01  ,8.063896238972e-01  ,4.364609812765e+04  
  4.387327880859e-01  ,9.879079331080e-01  ,4.348156122303e+04  
  4.487327880859e-01  ,9.860222663558e-01  ,4.333634672456e+04  
  4.587327880859e-01  ,8.608359629383e-01  ,4.317527236264e+04  
  4.687327880859e-01  ,1.036935268667e+00  ,4.302251400503e+04  
  4.787327880859e-01  ,7.832856293209e-01  ,4.286058262284e+04  
  4.887327880859e-01  ,7.914507494326e-01  ,4.267448529079e+04  
  4.987327880859e-01  ,7.120879788397e-01  ,4.247359004627e+04  
  5.087327880859e-01  ,1.155530892174e+00  ,4.230971732127e+04  
  5.187327880859e-01  ,1.186653547308e+00  ,4.219215677879e+04  
  5.287327880859e-01  ,9.747814956190e-01  ,4.206240492373e+04  
  5.387327880859e-01  ,1.166533666136e+00  ,4.194087812461e+04  
  5.487327880859e-01  ,1.021538708097e+00  ,4.181430767931e+04  
  5.587327880859e-01  ,7.701591918318e-01  ,4.165288013258e+04  
  5.687327880859e-01  ,8.706121381394e-01  ,4.147842379444e+04  
  5.787327880859e-01  ,7.700859620550e-01  ,4.130459476877e+04  
  5.887327880859e-01  ,1.250418375445e+00  ,4.115803673885e+04  
  5.987327880859e-01  ,8.289260877034e-01  ,4.101967540992e+04  
  6.087327880859e-01  ,1.266565541227e+00  ,4.088223154277e+04  
  6.099827880859e-01  ,9.592750903843e-01  ,4.086442625815e+04  
  6.102952880859e-01  ,1.059654806915e+00  ,4.086034219318e+04  
