  Time                 , V(VS)                , (V(MH:+)-V(MH:-))  / I(MH:+)
  0.000000000000e+00  ,9.002319406720e-01  ,4.996409459192e+04  
  1.000000000000e-04  ,9.471144749290e-01  ,4.996239668955e+04  
  2.000000000000e-04  ,1.029630420850e+00  ,4.996085014086e+04  
  4.000000000000e-04  ,9.002319406720e-01  ,4.995752974606e+04  
  6.490722656250e-04  ,9.148747215186e-01  ,4.995322684116e+04  
  9.017089843750e-04  ,9.540482802820e-01  ,4.994893984323e+04  
  1.406982421875e-03  ,9.720053712577e-01  ,4.994052909152e+04  
  2.417529296875e-03  ,9.510574663533e-01  ,4.992371662976e+04  
  4.438623046875e-03  ,1.097058015687e+00  ,4.989221370318e+04  
  8.480810546875e-03  ,9.637836848048e-01  ,4.982981173894e+04  
  1.504331054687e-02  ,1.086846522416e+00  ,4.972809719983e+04  
  2.129487304687e-02  ,9.357249671926e-01  ,4.962457644749e+04  
  3.129487304687e-02  ,1.071514023255e+00  ,4.947103917328e+04  
  4.129487304687e-02  ,9.069704275643e-01  ,4.930244353154e+04  
  5.129487304688e-02  ,9.017151402326e-01  ,4.912833310528e+04  
  6.129487304688e-02  ,1.025351725822e+00  ,4.896872416990e+04  
  7.129487304687e-02  ,9.971770378735e-01  ,4.881413060809e+04  
  8.129487304687e-02  ,9.545976134526e-01  ,4.865349281517e+04  
  9.129487304687e-02  ,1.060435804315e+00  ,4.850286951165e+04  
  1.012948730469e-01  ,9.182927945799e-01  ,4.834456013620e+04  
  1.112948730469e-01  ,9.896023438215e-01  ,4.818733860528e+04  
  1.212948730469e-01  ,1.028031250954e+00  ,4.803514320983e+04  
  1.312948730469e-01  ,1.094653157140e+00  ,4.789163930247e+04  
  1.412948730469e-01  ,1.032175664541e+00  ,4.774790488713e+04  
  1.512948730469e-01  ,1.058122501297e+00  ,4.760179069993e+04  
  1.612948730469e-01  ,1.012656025880e+00  ,4.745252325042e+04  
  1.712948730469e-01  ,9.080751976073e-01  ,4.728920377142e+04  
  1.812948730469e-01  ,1.076281014435e+00  ,4.713395188442e+04  
  1.912948730469e-01  ,9.136722922452e-01  ,4.697975450093e+04  
  2.012948730469e-01  ,9.593585009308e-01  ,4.682249028329e+04  
  2.112948730469e-01  ,1.097015289773e+00  ,4.667928525530e+04  
  2.212948730469e-01  ,9.149296548357e-01  ,4.652781635049e+04  
  2.312948730469e-01  ,9.036011841182e-01  ,4.636002769253e+04  
  2.412948730469e-01  ,9.051271095920e-01  ,4.619212208084e+04  
  2.512948730469e-01  ,1.013449507126e+00  ,4.603448609360e+04  
  2.612948730469e-01  ,1.003195287942e+00  ,4.588651365198e+04  
  2.712948730469e-01  ,1.029624317148e+00  ,4.574118716016e+04  
  2.812948730469e-01  ,1.044114505448e+00  ,4.559846474203e+04  
  2.912948730469e-01  ,9.770104068117e-01  ,4.544952118355e+04  
  3.012948730469e-01  ,9.760277108066e-01  ,4.529756294667e+04  
  3.112948730469e-01  ,9.052919095431e-01  ,4.513913751816e+04  
  3.212948730469e-01  ,1.080260628071e+00  ,4.499646679603e+04  
  3.312948730469e-01  ,9.419812616352e-01  ,4.484432532195e+04  
  3.412948730469e-01  ,1.072264778588e+00  ,4.470343980662e+04  
  3.512948730469e-01  ,1.009176915799e+00  ,4.456019996169e+04  
  3.612948730469e-01  ,1.092858668783e+00  ,4.442459993295e+04  
  3.712948730469e-01  ,1.025638599811e+00  ,4.428530029162e+04  
  3.812948730469e-01  ,9.745384075442e-01  ,4.413941882846e+04  
  3.912948730469e-01  ,1.089892269662e+00  ,4.399921186207e+04  
  4.012948730469e-01  ,9.462538529618e-01  ,4.385686430480e+04  
  4.112948730469e-01  ,1.004165776543e+00  ,4.371396219086e+04  
  4.212948730469e-01  ,9.465651417585e-01  ,4.356455486352e+04  
  4.312948730469e-01  ,1.079473250526e+00  ,4.342717769568e+04  
  4.412948730469e-01  ,9.749473555712e-01  ,4.328344974099e+04  
  4.512948730469e-01  ,9.824304940947e-01  ,4.313867700539e+04  
  4.612948730469e-01  ,1.048857081820e+00  ,4.300065225485e+04  
  4.712948730469e-01  ,9.711020233772e-01  ,4.286009395778e+04  
  4.812948730469e-01  ,9.752525406659e-01  ,4.271414865217e+04  
  4.912948730469e-01  ,9.438001648000e-01  ,4.256516374018e+04  
  5.012948730469e-01  ,9.142277291177e-01  ,4.241174818178e+04  
  5.112948730469e-01  ,1.017581713309e+00  ,4.226517442715e+04  
  5.212948730469e-01  ,1.034977263710e+00  ,4.212913336419e+04  
  5.312948730469e-01  ,9.862819299905e-01  ,4.198931139233e+04  
  5.412948730469e-01  ,1.064360484634e+00  ,4.185617416631e+04  
  5.512948730469e-01  ,9.067262794885e-01  ,4.171373579958e+04  
  5.612948730469e-01  ,1.032157353435e+00  ,4.157714506512e+04  
  5.712948730469e-01  ,9.512955107273e-01  ,4.143420270806e+04  
  5.812948730469e-01  ,1.048545793023e+00  ,4.129945050547e+04  
  5.912948730469e-01  ,1.070024719993e+00  ,4.116959349248e+04  
  6.012948730469e-01  ,9.341685232093e-01  ,4.102761702122e+04  
  6.112948730469e-01  ,1.051200903348e+00  ,4.088893320358e+04  
  6.212948730469e-01  ,9.860438856166e-01  ,4.075501342591e+04  
  6.312948730469e-01  ,9.806482131413e-01  ,4.061766385879e+04  
  6.412948730469e-01  ,9.285836359752e-01  ,4.047438117905e+04  
  6.512948730469e-01  ,1.001950132756e+00  ,4.033660371726e+04  
  6.612948730469e-01  ,9.931424909207e-01  ,4.020000985160e+04  
  6.712948730469e-01  ,9.973052156133e-01  ,4.006446868709e+04  
  6.812948730469e-01  ,9.167668691061e-01  ,3.992057409439e+04  
  6.912948730469e-01  ,1.067088839381e+00  ,3.978427968570e+04  
  7.012948730469e-01  ,1.076219977416e+00  ,3.966052431818e+04  
  7.112948730469e-01  ,1.009891048921e+00  ,3.953144529094e+04  
  7.212948730469e-01  ,1.001767021699e+00  ,3.939927177740e+04  
  7.312948730469e-01  ,9.192388683737e-01  ,3.926012442718e+04  
  7.412948730469e-01  ,9.721396526994e-01  ,3.912280274989e+04  
  7.512948730469e-01  ,1.043461409345e+00  ,3.899325305370e+04  
  7.612948730469e-01  ,9.014587847530e-01  ,3.885655354217e+04  
  7.712948730469e-01  ,9.255500961333e-01  ,3.871116853908e+04  
  7.812948730469e-01  ,9.171147801141e-01  ,3.856667940229e+04  
  7.912948730469e-01  ,1.076622821741e+00  ,3.843465779427e+04  
  8.012948730469e-01  ,9.184514908292e-01  ,3.829533775517e+04  
  8.112948730469e-01  ,9.630817590869e-01  ,3.815878300612e+04  
  8.212948730469e-01  ,1.025327311014e+00  ,3.802951052039e+04  
  8.312948730469e-01  ,1.030576494644e+00  ,3.790440284182e+04  
  8.412948730469e-01  ,9.977813043611e-01  ,3.777769633734e+04  
  8.512948730469e-01  ,9.706442457350e-01  ,3.764702621395e+04  
  8.612948730469e-01  ,1.058592486343e+00  ,3.752080142811e+04  
  8.712948730469e-01  ,9.852137821589e-01  ,3.739603992027e+04  
  8.812948730469e-01  ,9.038087099826e-01  ,3.725950337904e+04  
  8.912948730469e-01  ,9.431226538896e-01  ,3.712062677290e+04  
  9.012948730469e-01  ,1.068272957549e+00  ,3.699427728120e+04  
  9.112948730469e-01  ,9.783104953154e-01  ,3.687103475392e+04  
  9.212948730469e-01  ,1.047508163701e+00  ,3.674681559154e+04  
  9.312948730469e-01  ,9.746848963897e-01  ,3.661945515134e+04  
  9.412948730469e-01  ,1.090734580523e+00  ,3.650137363941e+04  
  9.512948730469e-01  ,1.044267097995e+00  ,3.638286317219e+04  
  9.612948730469e-01  ,9.953337199011e-01  ,3.626008288162e+04  
  9.712948730469e-01  ,1.057029938658e+00  ,3.613937703471e+04  
  9.812948730469e-01  ,9.775170140690e-01  ,3.601776191687e+04  
  9.912948730469e-01  ,1.048460341197e+00  ,3.589929098311e+04  
  1.001294873047e+00  ,9.910794396802e-01  ,3.577706444041e+04  
  1.011294873047e+00  ,1.039005706961e+00  ,3.565804811312e+04  
  1.021294873047e+00  ,9.415723136082e-01  ,3.553125412991e+04  
  1.031294873047e+00  ,9.736228522599e-01  ,3.540532626588e+04  
  1.041294873047e+00  ,9.217596972564e-01  ,3.527466324457e+04  
  1.051294873047e+00  ,1.053758354442e+00  ,3.515497548223e+04  
  1.061294873047e+00  ,9.007263405255e-01  ,3.502461637472e+04  
  1.071294873047e+00  ,1.014426099429e+00  ,3.490222785922e+04  
  1.081294873047e+00  ,1.059001434370e+00  ,3.478640715709e+04  
  1.091294873047e+00  ,1.019754631184e+00  ,3.467163220826e+04  
  1.101294873047e+00  ,9.996978667562e-01  ,3.455347677601e+04  
  1.111294873047e+00  ,9.364268929106e-01  ,3.442985690749e+04  
  1.121294873047e+00  ,1.006961272011e+00  ,3.431024772717e+04  
  1.131294873047e+00  ,9.218329416791e-01  ,3.418410650585e+04  
  1.141294873047e+00  ,9.918362987152e-01  ,3.406282846730e+04  
  1.151294873047e+00  ,1.055833613086e+00  ,3.394872371768e+04  
  1.161294873047e+00  ,9.882473220008e-01  ,3.383416835760e+04  
  1.171294873047e+00  ,1.078667561876e+00  ,3.372122022605e+04  
  1.181294873047e+00  ,1.061931211280e+00  ,3.361101833887e+04  
  1.191294873047e+00  ,1.096136356700e+00  ,3.350442832070e+04  
  1.201294873047e+00  ,1.098864711447e+00  ,3.339943327252e+04  
  1.211294873047e+00  ,9.026551103244e-01  ,3.327821598777e+04  
  1.221294873047e+00  ,9.712118900113e-01  ,3.315417755092e+04  
  1.231294873047e+00  ,1.077983947264e+00  ,3.304210550540e+04  
  1.241294873047e+00  ,1.063664662618e+00  ,3.293365722576e+04  
  1.251294873047e+00  ,9.588518936735e-01  ,3.282067975372e+04  
  1.261294873047e+00  ,9.059572130497e-01  ,3.269765528283e+04  
  1.271294873047e+00  ,1.098535111545e+00  ,3.258333343743e+04  
  1.281294873047e+00  ,9.233344523453e-01  ,3.247078288038e+04  
  1.291294873047e+00  ,1.028751487777e+00  ,3.235472907483e+04  
  1.301294873047e+00  ,9.107913449507e-01  ,3.223319484133e+04  
  1.311294873047e+00  ,9.564226203192e-01  ,3.211452114804e+04  
  1.321294873047e+00  ,9.843775749992e-01  ,3.199954127623e+04  
  1.331294873047e+00  ,9.855800042726e-01  ,3.188667704412e+04  
  1.341294873047e+00  ,1.088036744285e+00  ,3.178199780769e+04  
  1.351294873047e+00  ,1.078814050722e+00  ,3.167963017605e+04  
  1.361294873047e+00  ,1.063127536851e+00  ,3.157714441397e+04  
  1.371294873047e+00  ,9.870571001312e-01  ,3.147038074831e+04  
  1.381294873047e+00  ,1.044291512803e+00  ,3.136293209251e+04  
  1.391294873047e+00  ,9.064821314127e-01  ,3.125036184759e+04  
  1.401294873047e+00  ,9.552201910459e-01  ,3.113688057195e+04  
  1.411294873047e+00  ,9.920438245796e-01  ,3.102649512102e+04  
  1.421294873047e+00  ,9.655964842677e-01  ,3.091619393834e+04  
  1.431294873047e+00  ,9.935575426496e-01  ,3.080636617649e+04  
  1.441294873047e+00  ,9.617267372662e-01  ,3.069544663636e+04  
  1.451294873047e+00  ,9.072206793420e-01  ,3.057944515115e+04  
  1.461294873047e+00  ,1.002291940062e+00  ,3.046734016590e+04  
  1.471294873047e+00  ,9.777794732505e-01  ,3.036040491101e+04  
  1.481294873047e+00  ,1.003097628712e+00  ,3.025488405104e+04  
  1.491294873047e+00  ,9.701559495834e-01  ,3.014745702241e+04  
  1.501294873047e+00  ,9.449293496506e-01  ,3.003751557921e+04  
  1.511294873047e+00  ,1.077819147313e+00  ,2.993403809045e+04  
  1.521294873047e+00  ,9.523209326456e-01  ,2.983144949335e+04  
  1.531294873047e+00  ,1.074877162999e+00  ,2.973366697933e+04  
  1.541294873047e+00  ,1.072453993347e+00  ,2.963755374104e+04  
  1.551294873047e+00  ,1.073772392956e+00  ,2.954229574980e+04  
  1.561294873047e+00  ,9.184270760216e-01  ,2.943868792342e+04  
  1.571294873047e+00  ,1.046330149236e+00  ,2.933405653201e+04  
  1.581294873047e+00  ,9.538407544176e-01  ,2.923216509779e+04  
  1.591294873047e+00  ,1.027091280862e+00  ,2.913277148416e+04  
  1.601294873047e+00  ,9.116580706198e-01  ,2.902522469432e+04  
  1.611294873047e+00  ,9.698995941038e-01  ,2.892019594905e+04  
  1.621294873047e+00  ,1.084624774926e+00  ,2.882427895415e+04  
  1.631294873047e+00  ,1.096270638142e+00  ,2.873361107813e+04  
  1.641294873047e+00  ,1.021530808435e+00  ,2.864016240055e+04  
  1.651294873047e+00  ,9.822473830378e-01  ,2.854127678514e+04  
  1.661294873047e+00  ,9.392834253975e-01  ,2.843806590274e+04  
  1.671294873047e+00  ,9.043885616626e-01  ,2.833043635170e+04  
  1.681294873047e+00  ,9.389904477065e-01  ,2.822322918911e+04  
  1.691294873047e+00  ,1.029734183782e+00  ,2.812378585477e+04  
  1.701294873047e+00  ,9.210394604328e-01  ,2.802363538098e+04  
  1.711294873047e+00  ,1.014993743706e+00  ,2.792310280761e+04  
  1.721294873047e+00  ,9.540421765801e-01  ,2.782210416436e+04  
  1.731294873047e+00  ,1.000668355358e+00  ,2.772468426664e+04  
  1.741294873047e+00  ,9.900601214637e-01  ,2.762796104499e+04  
  1.751294873047e+00  ,9.722739341411e-01  ,2.753042918991e+04  
  1.761294873047e+00  ,1.059941404462e+00  ,2.743712375058e+04  
  1.771294873047e+00  ,9.376415295877e-01  ,2.734221453450e+04  
  1.781294873047e+00  ,1.051469466231e+00  ,2.725140345079e+04  
  1.791294873047e+00  ,1.062089907529e+00  ,2.716283754751e+04  
  1.801294873047e+00  ,1.095324564348e+00  ,2.707716841765e+04  
  1.811294873047e+00  ,9.361766411328e-01  ,2.698210216141e+04  
  1.821294873047e+00  ,1.084417249062e+00  ,2.689409437074e+04  
  1.831294873047e+00  ,1.049851985229e+00  ,2.680662578249e+04  
  1.841294873047e+00  ,9.554399243141e-01  ,2.671321962077e+04  
