  Time                 , V(VN)                , V(VVAL)              , (V(MS:+)-V(MS:-)) / I(MS:+), (V(MH:+)-V(MH:-)) / I(MH:+)
  1.000000000000e-10  ,1.064229047824e-02  ,1.000000000000e+00  ,5.000000000049e+04  ,5.000000000000e+04  
  1.816187821329e-10  ,2.027524504592e-02  ,1.000000000000e+00  ,5.000000000088e+04  ,5.000000000000e+04  
  3.448563463986e-10  ,4.095902274275e-02  ,1.000000000000e+00  ,5.000000000167e+04  ,5.000000000000e+04  
  6.713314749300e-10  ,8.620217742282e-02  ,1.000000000000e+00  ,5.000000000323e+04  ,5.000000000000e+04  
  1.324281731993e-09  ,1.700500520528e-01  ,1.000000000000e+00  ,5.000000000624e+04  ,5.000000000000e+04  
  2.630182246119e-09  ,6.616776932333e-03  ,1.000000000000e+00  ,5.000000000918e+04  ,5.000000000000e+04  
  5.072110036761e-09  ,-1.080793566643e-03  ,1.000000000000e+00  ,5.000000000918e+04  ,5.000000000000e+04  
  6.400000000000e-09  ,9.427181811361e-04  ,1.000000000000e+00  ,5.000000000918e+04  ,5.000000000000e+04  
  7.114285714286e-09  ,-9.631811412447e-05  ,1.000000000000e+00  ,5.000000000918e+04  ,5.000000000000e+04  
  8.542934543746e-09  ,3.307713301410e-04  ,1.000000000000e+00  ,5.000000000918e+04  ,5.000000000000e+04  
  9.864481277125e-09  ,-7.303898820199e-07  ,1.000000000000e+00  ,5.000000000918e+04  ,5.000000000000e+04  
  1.237085658993e-08  ,1.595815544846e-04  ,1.000000000000e+00  ,5.000000000918e+04  ,5.000000000000e+04  
  1.577167410340e-08  ,-4.446513134937e-05  ,1.000000000000e+00  ,5.000000000918e+04  ,5.000000000000e+04  
  1.955209869828e-08  ,9.621952354166e-05  ,1.000000000000e+00  ,5.000000000918e+04  ,5.000000000000e+04  
  2.425043482270e-08  ,-4.438877029145e-05  ,1.000000000000e+00  ,5.000000000918e+04  ,5.000000000000e+04  
  3.364710707154e-08  ,7.497349295704e-05  ,1.000000000000e+00  ,5.000000000918e+04  ,5.000000000000e+04  
  5.244045156922e-08  ,-7.510451018078e-05  ,1.000000000000e+00  ,5.000000000918e+04  ,5.000000000000e+04  
  7.350000000000e-08  ,2.570972745843e-04  ,1.000000000000e+00  ,5.000000000918e+04  ,5.000000000000e+04  
  7.360000000000e-08  ,4.245949263293e-05  ,1.000000000000e+00  ,5.000000000918e+04  ,5.000000000000e+04  
  7.370000000000e-08  ,6.659144583665e-05  ,1.000000000000e+00  ,5.000000000918e+04  ,5.000000000000e+04  
  7.447681615949e-08  ,-3.223037415125e-04  ,1.000000000000e+00  ,5.000000000918e+04  ,5.000000000000e+04  
  7.533661316037e-08  ,-3.066588925549e-04  ,1.000000000000e+00  ,5.000000000918e+04  ,5.000000000000e+04  
  7.705620716214e-08  ,-1.881147219478e-03  ,1.000000000000e+00  ,5.000000000918e+04  ,5.000000000000e+04  
  7.990000000000e-08  ,-4.141912804243e-03  ,1.000000000000e+00  ,5.000000000918e+04  ,5.000000000000e+04  
  8.061428571429e-08  ,-4.957971737895e-03  ,1.000000000000e+00  ,5.000000000918e+04  ,5.000000000000e+04  
  8.204293454375e-08  ,-5.926312861902e-03  ,1.000000000000e+00  ,5.000000000918e+04  ,5.000000000000e+04  
  8.490023220267e-08  ,-8.501185969180e-03  ,1.000000000000e+00  ,5.000000000918e+04  ,5.000000000000e+04  
  9.061482752051e-08  ,-1.290203821554e-02  ,1.000000000000e+00  ,5.000000000918e+04  ,5.000000000000e+04  
  1.020440181562e-07  ,-2.190116041129e-02  ,1.000000000000e+00  ,5.000000000918e+04  ,5.000000000000e+04  
  1.249023994276e-07  ,-3.749745016466e-02  ,1.000000000000e+00  ,5.000000000918e+04  ,5.000000000000e+04  
  1.706191619703e-07  ,-6.328841496725e-02  ,1.000000000000e+00  ,5.000000000918e+04  ,5.000000000000e+04  
  2.620526870557e-07  ,-9.629790385225e-02  ,1.000000000000e+00  ,5.000000022555e+04  ,5.000000000000e+04  
  4.449197372266e-07  ,-1.222440672573e-01  ,1.000000000000e+00  ,5.000000118644e+04  ,5.000000000000e+04  
  8.106538375684e-07  ,-1.147620767006e-01  ,1.000000000000e+00  ,5.000000358509e+04  ,4.999996099106e+04  
  1.173050077803e-06  ,-8.729309662885e-02  ,1.000000000000e+00  ,5.000000642617e+04  ,4.999991354679e+04  
  1.692135008223e-06  ,-4.314587702538e-02  ,1.000000000000e+00  ,5.000001096775e+04  ,4.999989373329e+04  
  2.730304869063e-06  ,5.118241212040e-02  ,1.000000000000e+00  ,5.000002076941e+04  ,4.999986943199e+04  
  4.806644590742e-06  ,2.319547155639e-01  ,1.000000000000e+00  ,5.000004067997e+04  ,4.999983395976e+04  
  8.959324034102e-06  ,5.061199908669e-01  ,1.000000000000e+00  ,5.000007757662e+04  ,4.999977562279e+04  
  1.726468292082e-05  ,8.029223327758e-01  ,1.000000000000e+00  ,5.000013906821e+04  ,4.999967597742e+04  
  3.387540069426e-05  ,9.810608683620e-01  ,1.000000000000e+00  ,5.000019299578e+04  ,4.999949915483e+04  
  6.709683624113e-05  ,9.973296791431e-01  ,1.000000000000e+00  ,5.000019299580e+04  ,4.999916108400e+04  
  1.335397073349e-04  ,9.918885329389e-01  ,1.000000000000e+00  ,5.000019299583e+04  ,4.999848658113e+04  
  2.424264260849e-04  ,9.952618849929e-01  ,1.000000000000e+00  ,5.000019299589e+04  ,4.999738070339e+04  
  4.601998635849e-04  ,9.927209606394e-01  ,1.000000000000e+00  ,5.000019299599e+04  ,4.999516943638e+04  
  8.957467385849e-04  ,9.949742124300e-01  ,1.000000000000e+00  ,5.000019299621e+04  ,4.999074685928e+04  
  1.766840488585e-03  ,9.928128832835e-01  ,1.000000000000e+00  ,5.000019299665e+04  ,4.998190293544e+04  
  3.509027988585e-03  ,9.947559762513e-01  ,1.000000000000e+00  ,5.000019299752e+04  ,4.996421835017e+04  
  6.993402988585e-03  ,9.925308350357e-01  ,1.000000000000e+00  ,5.000019299926e+04  ,4.992886354227e+04  
  1.396215298858e-02  ,9.941125054611e-01  ,1.000000000000e+00  ,5.000019300275e+04  ,4.985820993356e+04  
