  Time                 , V(VS)                , (V(MH:+)-V(MH:-))  / I(MH:+)
  0.000000000000e+00  ,8.004638813440e-01  ,4.995883315271e+04  
  1.000000000000e-04  ,8.942289498581e-01  ,4.995701396328e+04  
  2.000000000000e-04  ,1.059260841700e+00  ,4.995551012475e+04  
  4.000000000000e-04  ,8.004638813440e-01  ,4.995200315577e+04  
  4.395202636719e-04  ,1.059260841700e+00  ,4.995129478384e+04  
  5.185607910156e-04  ,8.297494430372e-01  ,4.994982148744e+04  
  5.875915527344e-04  ,9.440107425153e-01  ,4.994860264541e+04  
  6.522644042969e-04  ,9.021149327067e-01  ,4.994745429477e+04  
  7.214294433594e-04  ,1.194116031373e+00  ,4.994642601197e+04  
  8.024963378906e-04  ,9.275673696097e-01  ,4.994511930787e+04  
  8.823303222656e-04  ,1.173693044832e+00  ,4.994396895119e+04  
  9.601623535156e-04  ,8.714499343852e-01  ,4.994266052924e+04  
  1.037261962891e-03  ,1.143028046510e+00  ,4.994150747454e+04  
  1.113690185547e-03  ,8.139408551286e-01  ,4.994013984498e+04  
  1.188592529297e-03  ,8.034302804651e-01  ,4.993866718654e+04  
  1.263995361328e-03  ,1.050703451643e+00  ,4.993739743288e+04  
  1.408770751953e-03  ,9.943540757469e-01  ,4.993504634671e+04  
  1.565435791016e-03  ,9.091952269051e-01  ,4.993241100196e+04  
  1.728399658203e-03  ,1.120871608631e+00  ,4.992995908286e+04  
  2.054327392578e-03  ,8.365855891598e-01  ,4.992454951238e+04  
  2.105340576172e-03  ,1.056062501907e+00  ,4.992366429364e+04  
  2.207366943359e-03  ,1.189306314280e+00  ,4.992214910621e+04  
  2.306805419922e-03  ,1.025312051759e+00  ,4.992064740882e+04  
  2.422894287109e-03  ,8.273445844905e-01  ,4.991856181886e+04  
  2.451452636719e-03  ,1.194030579546e+00  ,4.991808134483e+04  
  2.508569335938e-03  ,8.298593096713e-01  ,4.991718203111e+04  
  2.574829101562e-03  ,8.072023682363e-01  ,4.991595691335e+04  
  2.635632324219e-03  ,8.102542191839e-01  ,4.991475677008e+04  
  2.694873046875e-03  ,1.026899014252e+00  ,4.991374172033e+04  
  2.755895996094e-03  ,1.006390575884e+00  ,4.991275371342e+04  
  2.832934570312e-03  ,1.088229010895e+00  ,4.991158815970e+04  
  2.905773925781e-03  ,9.540208136235e-01  ,4.991041756043e+04  
  2.996960449219e-03  ,9.520554216132e-01  ,4.990890614249e+04  
  3.094921875000e-03  ,8.105838190863e-01  ,4.990706090433e+04  
  3.212353515625e-03  ,1.160521256142e+00  ,4.990523524504e+04  
  3.327734375000e-03  ,1.144529557176e+00  ,4.990359153388e+04  
  3.460644531250e-03  ,1.018353831599e+00  ,4.990159428218e+04  
  3.627099609375e-03  ,1.185717337565e+00  ,4.989928391777e+04  
  3.810620117187e-03  ,1.179784539323e+00  ,4.989682072279e+04  
